ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
2025-09-24 19:30:01.024221415+00:00,160,1,432669,M,A,64.94,1,26,8058565075241,128,14894,94226085,CLX5
2025-09-24 19:30:01.026182495+00:00,160,1,432669,M,A,64.95,1,26,8058565075241,128,18598,94226131,CLX5
2025-09-24 19:30:01.109114159+00:00,160,1,432669,A,B,64.79,2,26,8058566314879,128,18113,94226160,CLX5
2025-09-24 19:30:01.209105749+00:00,160,1,432669,A,B,64.78,2,26,8058566314889,128,19915,94226178,CLX5
2025-09-24 19:30:01.428712711+00:00,160,1,432669,C,A,64.83,1,26,8058566314750,128,19424,94226201,CLX5
2025-09-24 19:30:01.428872449+00:00,160,1,432669,A,B,64.82,1,26,8058566314905,128,19012,94226202,CLX5
2025-09-24 19:30:01.428896965+00:00,160,1,432669,C,B,64.81,1,26,8058566305478,128,15269,94226204,CLX5
2025-09-24 19:30:01.520251767+00:00,160,1,432669,A,B,64.81,2,26,8058566314917,128,14201,94226237,CLX5
2025-09-24 19:30:01.520252517+00:00,160,1,432669,A,B,64.82,2,26,8058566314921,128,15835,94226243,CLX5
2025-09-24 19:30:01.520256521+00:00,160,1,432669,C,A,64.83,1,26,8058566314835,128,15656,94226258,CLX5
2025-09-24 19:30:01.520257787+00:00,160,1,432669,A,B,64.82,1,26,8058566314930,128,15752,94226261,CLX5
2025-09-24 19:30:01.520260877+00:00,160,1,432669,C,B,64.78,2,26,8058566314889,128,14398,94226265,CLX5
2025-09-24 19:30:01.520262395+00:00,160,1,432669,C,A,64.83,1,26,8058566314818,128,21996,94226267,CLX5
2025-09-24 19:30:01.520287201+00:00,160,1,432669,C,A,64.83,1,26,8058566314841,128,15919,94226272,CLX5
2025-09-24 19:30:01.520306361+00:00,160,1,432669,C,A,64.83,2,26,8058566314816,128,15816,94226273,CLX5
2025-09-24 19:30:01.520813257+00:00,160,1,432669,C,A,64.83,1,26,8058566314832,128,16313,94226305,CLX5
2025-09-24 19:30:01.520910061+00:00,160,1,432669,C,A,64.86,1,26,8058566314803,128,14948,94226314,CLX5
2025-09-24 19:30:01.521103337+00:00,160,1,432669,A,B,64.82,1,26,8058566314950,128,18808,94226317,CLX5
2025-09-24 19:30:01.570616551+00:00,160,1,432669,A,B,64.82,5,26,8058566314979,128,16695,94226457,CLX5
2025-09-24 19:30:01.570820793+00:00,160,1,432669,C,A,64.83,1,26,8058566314728,128,19086,94226464,CLX5
2025-09-24 19:30:01.595505643+00:00,160,1,432669,C,A,64.83,2,26,8058566314726,128,20253,94226492,CLX5
2025-09-24 19:30:01.609133719+00:00,160,1,432669,C,B,64.79,2,26,8058566314879,128,19097,94226499,CLX5
2025-09-24 19:30:01.709117843+00:00,160,1,432669,A,B,64.8,2,26,8058566314994,128,18388,94226522,CLX5
2025-09-24 19:30:01.709121643+00:00,160,1,432669,A,B,64.79,2,26,8058566314995,128,15047,94226523,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,T,B,64.83,6,26,8058566315004,0,18677,94226565,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,F,A,64.83,2,26,8058566314696,0,18677,94226565,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,F,A,64.83,1,26,8058566314722,0,18677,94226565,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,F,A,64.83,3,26,8058566314782,0,18677,94226565,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,C,A,64.83,2,26,8058566314696,0,14729,94226566,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,C,A,64.83,1,26,8058566314722,0,14729,94226566,CLX5
2025-09-24 19:30:01.989038983+00:00,160,1,432669,C,A,64.83,3,26,8058566314782,128,14729,94226566,CLX5
2025-09-24 19:30:01.989510781+00:00,160,1,432669,A,A,64.84,1,26,8058566315040,128,17112,94226680,CLX5
2025-09-24 19:30:01.989676893+00:00,160,1,432669,A,A,64.84,1,26,8058566315047,128,16068,94226693,CLX5
2025-09-24 19:30:01.989678831+00:00,160,1,432669,C,A,64.84,1,26,8058566314633,128,17600,94226694,CLX5
2025-09-24 19:30:01.989680309+00:00,160,1,432669,A,B,64.83,1,26,8058566315049,128,15019,94226696,CLX5
2025-09-24 19:30:01.989682979+00:00,160,1,432669,C,A,64.84,1,26,8058566315040,128,14906,94226699,CLX5
2025-09-24 19:30:01.990074353+00:00,160,1,432669,A,B,64.83,1,26,8058566315054,128,14792,94226713,CLX5
2025-09-24 19:30:01.990086833+00:00,160,1,432669,A,B,64.8,1,26,8058566315055,128,15597,94226718,CLX5
2025-09-24 19:30:01.990581979+00:00,160,1,432669,A,B,64.83,2,26,8058566315063,128,14858,94226792,CLX5
2025-09-24 19:30:01.990663443+00:00,160,1,432669,A,B,64.83,2,26,8058566315072,128,17830,94226809,CLX5
2025-09-24 19:30:01.992375909+00:00,160,1,432669,A,A,64.84,1,26,8058566315091,128,15276,94226878,CLX5
2025-09-24 19:30:01.992439325+00:00,160,1,432669,C,A,64.84,1,26,8058566315047,128,19253,94226880,CLX5
2025-09-24 19:30:01.992828837+00:00,160,1,432669,A,A,64.84,1,26,8058566315093,128,15261,94226882,CLX5
2025-09-24 19:30:01.993073167+00:00,160,1,432669,M,B,64.82,3,26,8058566311409,128,16564,94226883,CLX5
2025-09-24 19:30:01.993193947+00:00,160,1,432669,A,B,64.83,1,26,8058566315094,128,17064,94226893,CLX5
2025-09-24 19:30:01.993741199+00:00,160,1,432669,M,B,64.82,4,26,8058566314979,128,19057,94226951,CLX5
2025-09-24 19:30:01.994019741+00:00,160,1,432669,C,B,64.83,2,26,8058566315072,128,20656,94226958,CLX5
2025-09-24 19:30:01.994179823+00:00,160,1,432669,C,B,64.83,2,26,8058566315063,128,15272,94226971,CLX5
